X_Position,Z_Line,Z_Sine,Z_Triangle
2.68537074148297,5.40280561122244,7.97967444769212,6.61122244488978
2.72545090180361,5.40881763527054,7.96995109778898,6.63527054108216
2.76553106212425,5.41482965931864,7.95834433740419,6.65931863727455
2.80561122244489,5.42084168336673,7.94486152702737,6.68336673346693
2.84569138276553,5.42685370741483,7.92951121685532,6.70741482965932
2.88577154308617,5.43286573146293,7.9123031413699,6.7314629258517
2.92585170340681,5.43887775551102,7.89324821316483,6.75551102204409
2.96593186372745,5.44488977955912,7.87235851602545,6.77955911823647
3.0060120240481,5.45090180360721,7.84964729726569,6.80360721442886
3.04609218436874,5.45691382765531,7.82512895932723,6.82765531062124
3.08617234468938,5.46292585170341,7.79881905064608,6.85170340681363
3.12625250501002,5.4689378757515,7.77073425579254,6.87575150300601
3.16633266533066,5.4749498997996,7.74089238489048,6.8997995991984
3.2064128256513,5.48096192384769,7.70931236232303,6.92384769539078
3.24649298597194,5.48697394789579,7.67601421473157,6.94789579158317
3.28657314629259,5.49298597194389,7.64101905831568,6.97194388777555
3.32665330661323,5.49899799599198,7.60434908544227,6.99599198396794
3.36673346693387,5.50501002004008,7.5660275505721,7.02004008016032
3.40681362725451,5.51102204408818,7.52607875551286,7.04408817635271
3.44689378757515,5.51703406813627,7.48452803400805,7.06813627254509
3.48697394789579,5.52304609218437,7.44140173567148,7.09218436873747
3.52705410821643,5.52905811623246,7.39672720927746,7.11623246492986
3.56713426853707,5.53507014028056,7.35053278541747,7.14028056112224
3.60721442885772,5.54108216432866,7.30284775853415,7.16432865731463
3.64729458917836,5.54709418837675,7.2537023683441,7.18837675350701
3.687374749499,5.55310621242485,7.20312778066113,7.2124248496994
3.72745490981964,5.55911823647295,7.15115606763238,7.23647294589178
3.76753507014028,5.56513026052104,7.09782018739951,7.26052104208417
3.80761523046092,5.57114228456914,7.0431539631982,7.28456913827655
3.84769539078156,5.57715430861723,6.98719206190888,7.30861723446894
3.8877755511022,5.58316633266533,6.92996997207263,7.33266533066132
3.92785571142285,5.58917835671343,6.87152398138583,7.35671342685371
3.96793587174349,5.59519038076152,6.81189115368821,7.38076152304609
4.00801603206413,5.60120240480962,6.75110930545858,7.40480961923848
4.04809619238477,5.60721442885772,6.6892169818333,7.42885771543086
4.08817635270541,5.61322645290581,6.62625343216267,7.45290581162325
4.12825651302605,5.61923847695391,6.56225858512078,7.47695390781563
4.16833667334669,5.625250501002,6.49727302338449,7.50100200400802
4.20841683366733,5.6312625250501,6.43133795789771,7.5250501002004
4.24849699398798,5.6372745490982,6.36449520173728,7.54909819639279
4.28857715430862,5.64328657314629,6.29678714359695,7.57314629258517
4.32865731462926,5.64929859719439,6.22825672090641,7.59719438877756
4.3687374749499,5.65531062124249,6.15894739260224,7.62124248496994
4.40881763527054,5.66132264529058,6.08890311156819,7.64529058116232
4.44889779559118,5.66733466933868,6.01816829676229,7.66933867735471
4.48897795591182,5.67334669338677,5.94678780504822,7.69338677354709
4.52905811623246,5.67935871743487,5.8748069027492,7.71743486973948
4.56913827655311,5.68537074148297,5.80227123694203,7.74148296593186
4.60921843687375,5.69138276553106,5.72922680650978,7.76553106212425
4.64929859719439,5.69739478957916,5.65571993297135,7.78957915831663
4.68937875751503,5.70340681362725,5.58179723110642,7.81362725450902
4.72945891783567,5.70941883767535,5.50750557939445,7.8376753507014
4.76953907815631,5.71543086172345,5.43289209028643,7.86172344689379
4.80961923847695,5.72144288577154,5.35800408032825,7.88577154308617
4.8496993987976,5.72745490981964,5.28288904015471,7.90981963927856
4.88977955911824,5.73346693386774,5.20759460437302,7.93386773547094
4.92985971943888,5.73947895791583,5.13216852135509,7.95791583166333
4.96993987975952,5.74549098196393,5.05665862295762,7.98196392785571
5.01002004008016,5.75150300601202,4.98111279418929,7.9939879759519
5.0501002004008,5.75751503006012,4.90557894284424,7.96993987975952
5.09018036072144,5.76352705410822,4.83010496912104,7.94589178356713
5.13026052104208,5.76953907815631,4.75473873524654,7.92184368737475
5.17034068136273,5.77555110220441,4.67952803512379,7.89779559118236
5.21042084168337,5.7815631262525,4.60452056402329,7.87374749498998
5.25050100200401,5.7875751503006,4.52976388833675,7.8496993987976
5.29058116232465,5.7935871743487,4.4553054154126,7.82565130260521
5.33066132264529,5.79959919839679,4.38119236349241,7.80160320641282
5.37074148296593,5.80561122244489,4.30747173176715,7.77755511022044
